地区,2024年,2023年,2022年,2021年,2020年,2019年,2018年,2017年,2016年,2015年
北京,14092.4,14485.9,13818.7,14897.3,13740.3,15072.4,14422.3,13933.7,13134.9,12271.9
天津,4128.3,4261.7,3900.1,4029.3,3747.1,4312.5,4231.2,4210.4,4188.1,3963.2
石家庄,3021.7,2875.2,2548.4,2501.2,2382.7,2465.2,3274.4,2983.3,2975.2,2693
太原,2260.4,1912.9,1761.4,1873.9,1655.1,1952.8,1811.9,1767.8,1666.2,1540.8
呼和浩特,1176,1202.6,1059.8,1104.7,1032.9,1076.5,1603.2,1518.8,1481.5,1353.5
沈阳,4154.8,4210.4,3864.5,3985.1,3637.6,4479.6,4051.2,3989.8,3985.9,3883.2
大连,2135.9,2008.6,1846.9,1909.7,1828,,3880.1,3722.5,3410.1,3087.5
长春,2454.5,2109.8,1907.8,2219.2,2003.1,3119.6,3003.6,2922.8,2650.3,2409.3
哈尔滨,2460.5,2384,2195.9,2380.3,2223.6,,4125.1,4044.8,3744.2,3394.5
上海,15872.3,16385.8,14918.2,16818.3,15189.2,15469,14874.8,13699.5,12588.2,11605.7
南京,7864.1,8201.1,7832.4,7899.4,7203,7136.3,5832.5,5604.7,5088.2,4590.2
杭州,9150.9,7670.6,7293.6,6743.5,6055.5,6187.6,5715.3,5717.4,5176.2,4697.2
宁波,5279.2,5212.6,4896.7,4649.1,4238.3,4268.6,4154.9,4047.8,3667.6,3349.6
合肥,5156.5,5270.8,5021.6,5111.7,4513.8,4378.2,2976.7,2728.5,2445.7,2183.7
福州,5633.7,4963.8,4679.5,4549.4,4225.6,4199,4666.5,4193.9,3763.1,3488.7
厦门,3329.8,2743.3,2665.4,2584.1,2293.9,2257.9,1542.4,1446.7,1283.5,1168.4
南昌,2847.7,3202.4,3012,2878.7,2452.7,2369.3,2131.6,2097,1868,1662.9
济南,5316.1,5199,4878.1,5126.1,4469.1,5162.2,4404.5,4146.1,3764.8,3410.3
青岛,6746.8,6318.9,5892,5975.4,5203.5,5126.6,4842.5,4541,4104.9,3713.7
郑州,6310.7,5623.1,5223.1,5389.2,5076.3,5324,4268.1,4057.2,3665.8,3294.7
武汉,7931.9,7531.9,6936.2,6795,6149.8,7774.5,6843.9,6196.3,5610.6,5102.2
长沙,5797.7,5561.7,5235.6,5111.6,4469.8,5247,4765,4547.7,4117.4,3690.6
广州,10450.6,11012.6,10298.2,10122.6,9218.7,9551.6,9256.2,9402.6,8706.5,7988
深圳,10025,10486.2,9708.3,9498.1,8664.8,9144.5,6168.9,6016.2,5512.8,5017.8
南宁,2100.4,2424.8,2358.8,2364.2,2180.4,2327.8,2214.7,2204.2,1980.4,1786.7
海口,1046.3,1088.8,1003.1,1057,835.9,823.9,757.6,726.1,653.9,595.5
重庆,16190.4,15629.6,14299.6,14257,11954.4,11710.5,10705.2,9769.4,8728.4,7667.6
成都,10835.3,10001.6,9096.5,9251.8,8118.5,8313.4,6801.8,6403.5,5742.4,4946.2
贵阳,2491.3,2526.8,2402.1,2546.7,2188.3,1380.4,1299.5,1335.3,1195.3,1060.2
昆明,3769.4,3574.3,3385.3,3386.4,3070.4,3186.7,2787.4,2591,2310.1,1937
拉萨,526.8,427.7,353.3,399.3,369.4,322.2,295.4,258.8,229.7,205.8
西安,4915.1,4811.6,4642.1,4963.4,4989.3,5140.9,4658.7,4329.5,3730.7,3405.4
兰州,1463.6,1796.3,1598.2,1757.7,1641.2,1672,1352.1,1358.7,1263.3,1152.1
西宁,618.7,624.8,531.7,621.1,573.6,632.1,564.4,560.8,513.1,461.9
银川,839.8,806.5,791.6,788.7,770.9,830,552.7,562.3,514.2,477.6
乌鲁木齐,1232.3,1231.3,1033,1171.9,964.4,1389,1354,1317.1,1236.7,1151.5
